StudyID,SampleID,ESID,Authors,PubYear,r,n,Corrz,Varz,SEz,Gender,Raceethnic,Continent,Grade,Lowability,Teachers,Childanx,Adoladultanx,MvSanx,Anxcomp,Achmeas,Mathcont,Pub
1041,167,363,"Macher, Paechter, Papousek, Ruggeri, Freudenthaler, & Arendasy",2013,-0.040,284,-0.040021354,0.003558719,0.059654999,-999,-999,3,5,2,2,-999,-999,2,-999.00,5,8,0
1044,168,364,"Macher, Paechter, Papousek, & Ruggeri",2011,-0.210,147,-0.214217711,0.006944444,0.083333333,-999,-999,3,5,2,2,-999,-999,2,-999.00,5,8,0
1050,169,365,Lalonde & Gardner,1993,-0.180,91,-0.181982689,0.011363636,0.106600358,-999,-999,1,5,2,2,-999,10,1,-999.00,5,8,0
1050,169,366,Lalonde & Gardner,1993,-0.400,64,-0.423648930,0.016393443,0.128036880,-999,-999,1,5,2,2,-999,10,1,-999.00,5,8,0
1050,169,367,Lalonde & Gardner,1993,-0.400,64,-0.423648930,0.016393443,0.128036880,-999,-999,1,5,2,2,-999,10,1,-999.00,4,8,0
1050,169,368,Lalonde & Gardner,1993,-0.140,64,-0.140925576,0.016393443,0.128036880,-999,-999,1,5,2,2,-999,10,1,-999.00,4,8,0
1050,169,369,Lalonde & Gardner,1993,-0.160,64,-0.161386696,0.016393443,0.128036880,-999,-999,1,5,2,2,-999,10,1,-999.00,5,8,0
1050,169,370,Lalonde & Gardner,1993,-0.400,64,-0.423648930,0.016393443,0.128036880,-999,-999,1,5,2,2,-999,10,1,-999.00,5,8,0
1050,169,371,Lalonde & Gardner,1993,-0.480,64,-0.522984278,0.016393443,0.128036880,-999,-999,1,5,2,2,-999,-999,2,-999.00,4,8,0
1050,169,372,Lalonde & Gardner,1993,-0.490,91,-0.536060337,0.011363636,0.106600358,-999,-999,1,5,2,2,-999,-999,2,-999.00,5,8,0
1050,169,373,Lalonde & Gardner,1993,-0.450,64,-0.484700279,0.016393443,0.128036880,-999,-999,1,5,2,2,-999,-999,2,-999.00,5,8,0
1061,170,374,Nasser,2004,-0.110,162,-0.110446916,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,-999,2,-999.00,3,-999,0
1061,170,375,Nasser,2004,0.090,162,0.090244188,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,-999,2,-999.00,5,8,0
